# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 2667590549
# output
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.02924
# Diagonal elements of inverse mass matrix:
# 0.414588
-7.66963,0.862309,1.02924,1,3,0,8.08109,0.368006
-7.76233,0.988913,1.02924,2,3,0,7.76378,0.403101
-7.7579,1,1.02924,1,1,0,7.7972,0.401815
-7.7579,0.46828,1.02924,1,3,0,10.3813,0.401815
-7.99628,0.701902,1.02924,2,3,0,9.30166,0.226282
-8.78237,0.847082,1.02924,1,1,0,8.78249,0.156375
-8.11192,1,1.02924,1,1,0,8.6568,0.211864
-7.70372,1,1.02924,1,3,0,8.01417,0.285396
-7.69623,1,1.02924,1,1,0,7.71622,0.288137
-8.61964,0.771876,1.02924,1,3,0,8.91821,0.53417
-10.0045,0.642429,1.02924,1,1,0,10.1559,0.642867
-9.78867,1,1.02924,1,1,0,10.5897,0.629115
-11.4382,0.873039,1.02924,2,3,0,11.8603,0.717397
-7.81972,1,1.02924,1,3,0,10.3322,0.418082
-7.63862,1,1.02924,1,3,0,7.79457,0.329277
-7.90332,0.933839,1.02924,1,3,0,7.9466,0.240104
-8.43876,0.954846,1.02924,2,3,0,8.45205,0.51449
-8.84679,0.874847,1.02924,1,1,0,9.04699,0.556314
-8.90244,0.553271,1.02924,1,3,0,11.4024,0.149203
-9.44149,0.919412,1.02924,1,1,0,9.56411,0.122607
-7.91481,0.993499,1.02924,1,3,0,9.18493,0.238253
-7.76238,1,1.02924,1,1,0,7.88632,0.268123
-8.0687,0.905365,1.02924,1,3,0,8.37347,0.465303
-7.79018,1,1.02924,1,1,0,7.9967,0.410713
-7.7173,1,1.02924,1,1,0,7.78155,0.388761
-7.72652,0.997113,1.02924,1,1,0,7.74917,0.391968
-8.34413,0.687296,1.02924,2,3,0,9.55117,0.188629
-8.4757,0.974374,1.02924,1,1,0,8.60507,0.17771
-8.03688,1,1.02924,1,1,0,8.40402,0.220929
-8.23994,0.956492,1.02924,1,1,0,8.29463,0.198312
-7.63817,0.987676,1.02924,1,3,0,8.20311,0.333711
-7.63817,0.564684,1.02924,1,3,0,9.33125,0.333711
-7.6615,0.993539,1.02924,2,3,0,7.67626,0.363132
-9.20857,0.666516,1.02924,1,3,0,9.27708,0.587254
-7.63821,1,1.02924,1,3,0,8.87782,0.334566
-7.63821,0.813705,1.02924,1,3,0,8.35197,0.334566
-10.1165,0.631605,1.02924,2,3,0,10.3223,0.0979926
-9.66217,1,1.02924,1,1,0,10.2941,0.113707
-7.96499,1,1.02924,2,3,0,9.18729,0.447907
-7.8618,0.941041,1.02924,1,3,0,8.38431,0.247213
-8.31498,0.960917,1.02924,2,3,0,8.32621,0.499651
-9.65045,0.648096,1.02924,1,1,0,9.73023,0.619838
-7.72942,1,1.02924,1,3,0,9.65223,0.277088
-7.66597,1,1.02924,1,1,0,7.71302,0.301797
-7.68561,0.998201,1.02924,2,3,0,7.6901,0.29237
-8.27112,0.904912,1.02924,2,3,0,8.45733,0.494064
-9.31541,0.711036,1.02924,1,1,0,9.4048,0.595589
-8.78237,1,1.02924,1,1,0,9.43476,0.550282
-8.04434,1,1.02924,2,3,0,8.59938,0.219982
-8.76442,0.861188,1.02924,1,1,0,8.76751,0.157497
-9.17141,0.934947,1.02924,1,1,0,9.30439,0.134937
-8.80618,1,1.02924,2,3,0,9.26027,0.154907
-8.02958,1,1.02924,1,1,0,8.64549,0.221866
-9.53125,0.658389,1.02924,1,3,0,10.6145,0.611514
-8.06883,0.880663,1.02924,1,3,0,10.3986,0.216949
-7.77045,0.849541,1.02924,2,3,0,9.22601,0.4054
-8.25778,0.828304,1.02924,1,3,0,8.76038,0.196579
-7.90692,0.885444,1.02924,2,3,0,9.29293,0.436966
-7.8366,1,1.02924,1,1,0,7.93546,0.422035
-7.71562,1,1.02924,1,1,0,7.80816,0.388159
-8.82338,0.755233,1.02924,1,3,0,8.83273,0.554143
-8.82338,0.242989,1.02924,1,1,0,12.1972,0.554143
-7.65456,1,1.02924,1,3,0,8.69955,0.309015
-7.86833,0.963465,1.02924,2,3,0,7.92947,0.429045
-7.64268,0.992791,1.02924,2,3,0,7.9125,0.320493
-7.67647,0.940447,1.02924,2,3,0,7.97005,0.296434
-7.71192,0.978762,1.02924,2,3,0,7.82501,0.386805
-7.90841,0.939512,1.02924,1,1,0,7.91328,0.43726
-8.1968,0.910058,1.02924,1,1,0,8.24633,0.484128
-7.83787,1,1.02924,1,1,0,8.10482,0.422325
-8.26372,0.870492,1.02924,1,1,0,8.28458,0.493102
-7.65215,0.976336,1.02924,2,3,0,8.41186,0.310853
-7.63842,0.984425,1.02924,2,3,0,7.73984,0.330287
-7.63842,0.669753,1.02924,1,3,0,8.83983,0.330287
-7.6401,0.999749,1.02924,2,3,0,7.64032,0.341824
-9.24618,0.652466,1.02924,1,3,0,9.38022,0.590225
-7.63818,1,1.02924,1,3,0,8.9151,0.332786
-7.64459,0.971549,1.02924,2,3,0,7.78285,0.348869
-7.68816,0.976321,1.02924,2,3,0,7.76637,0.377203
-8.15441,0.892341,1.02924,1,3,0,8.15561,0.478163
-9.89201,0.789972,1.02924,2,3,0,9.91847,0.635807
-7.73369,1,1.02924,1,3,0,9.8733,0.275837
-7.73369,0.57883,1.02924,1,3,0,9.75442,0.275837
-7.70681,1,1.02924,1,1,0,7.74019,0.284315
-7.80507,0.964135,1.02924,1,3,0,7.95582,0.414507
-7.65456,1,1.02924,1,3,0,7.75925,0.358257
-7.65456,0.590813,1.02924,1,3,0,9.45397,0.358257
-7.6994,0.986366,1.02924,1,1,0,7.7002,0.381972
-7.64172,1,1.02924,1,3,0,7.6832,0.344868
-7.64172,0.87419,1.02924,1,3,0,8.11166,0.344868
-7.7408,0.927566,1.02924,2,3,0,8.01877,0.27382
-7.71064,1,1.02924,1,1,0,7.74686,0.283009
-7.75591,0.988125,1.02924,1,1,0,7.76759,0.269769
-7.63818,0.998763,1.02924,1,3,0,7.74336,0.334032
-7.6669,0.991871,1.02924,2,3,0,7.68579,0.366446
-7.6669,0.65823,1.02924,1,3,0,9.12798,0.366446
-7.65829,1,1.02924,1,1,0,7.66888,0.36098
-7.88962,0.864142,1.02924,2,3,0,8.38085,0.242374
-7.64122,0.992929,1.02924,2,3,0,7.92959,0.322762
-7.80075,0.961869,1.02924,1,3,0,7.81545,0.259215
-7.65973,0.96864,1.02924,2,3,0,8.01071,0.361965
-7.63833,1,1.02924,1,3,0,7.65523,0.335737
-7.63864,0.999775,1.02924,2,3,0,7.63954,0.337504
-7.73808,0.915534,1.02924,2,3,0,8.08391,0.274582
-7.73808,0.304791,1.02924,1,3,0,12.0541,0.274582
-7.76404,0.99326,1.02924,1,1,0,7.78577,0.267707
-8.05168,0.917592,1.02924,2,3,0,8.4469,0.219061
-9.32408,0.836981,1.02924,1,3,0,9.33738,0.127753
-7.94694,0.990824,1.02924,1,3,0,9.07365,0.233309
-8.0479,0.97694,1.02924,1,1,0,8.10362,0.219534
-7.7055,0.940411,1.02924,2,3,0,8.45717,0.384381
-7.72715,0.99775,1.02924,2,3,0,7.74416,0.39218
-7.67588,1,1.02924,1,1,0,7.71631,0.371347
-7.67967,0.998834,1.02924,1,1,0,7.69039,0.37324
-7.9344,0.922947,1.02924,1,1,0,7.9344,0.442273
-8.75068,0.765119,1.02924,1,1,0,8.7737,0.547246
-10.0429,0.22079,1.02924,2,3,0,16.4352,0.100332
-8.0774,0.982187,1.02924,1,3,0,9.75337,0.215913
-7.79793,0.859604,1.02924,2,3,0,9.17538,0.412709
-7.73227,1,1.02924,1,1,0,7.79664,0.393885
-8.72958,0.779206,1.02924,1,3,0,8.7329,0.545199
-7.98629,1,1.02924,2,3,0,8.55683,0.227654
-8.37128,0.919204,1.02924,1,1,0,8.39194,0.186267
